Operon number	Sequence	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15	Genes_16
operon 744	NZ_CP015225.1	4520875	4525040	+	3	TK06_RS19450	TK06_RS19455	TK06_RS19460													
operon 745	NZ_CP015225.1	4525896	4527587	-	2	TK06_RS19470	TK06_RS19475														
operon 746	NZ_CP015225.1	4535833	4537217	+	2	TK06_RS19515	TK06_RS19520														
operon 747	NZ_CP015225.1	4539819	4542526	+	2	TK06_RS19535	TK06_RS19540														
operon 748	NZ_CP015225.1	4544631	4547260	+	3	TK06_RS19550	TK06_RS19555	TK06_RS19560													
operon 749	NZ_CP015225.1	4548311	4549810	-	2	TK06_RS19570	TK06_RS19575														
operon 750	NZ_CP015225.1	4555698	4557928	+	3	TK06_RS19605	TK06_RS19610	TK06_RS19615													
operon 751	NZ_CP015225.1	4559552	4563368	+	3	TK06_RS19625	TK06_RS19630	TK06_RS19635													
operon 752	NZ_CP015225.1	4563542	4566801	+	4	TK06_RS19640	TK06_RS19645	TK06_RS19650	TK06_RS19655												
operon 753	NZ_CP015225.1	4569671	4571773	+	2	TK06_RS19675	TK06_RS19680														
operon 754	NZ_CP015225.1	4577873	4580654	+	2	TK06_RS19715	TK06_RS19720														
operon 755	NZ_CP015225.1	4581886	4583546	+	2	TK06_RS19730	TK06_RS19735														
operon 756	NZ_CP015225.1	4585216	4587745	+	2	TK06_RS19750	TK06_RS31055														
operon 757	NZ_CP015225.1	4587640	4592848	-	3	TK06_RS19755	TK06_RS19760	TK06_RS19765													
operon 758	NZ_CP015225.1	4597502	4598789	+	2	TK06_RS19795	TK06_RS19800														
operon 759	NZ_CP015225.1	4598926	4610342	-	5	TK06_RS19805	TK06_RS19810	TK06_RS19815	TK06_RS19820	TK06_RS19825											
operon 760	NZ_CP015225.1	4611914	4616608	-	4	TK06_RS19840	TK06_RS19845	TK06_RS19850	TK06_RS19855												
operon 761	NZ_CP015225.1	4617740	4622060	-	3	TK06_RS19865	TK06_RS19870	TK06_RS19875													
operon 762	NZ_CP015225.1	4623408	4627127	-	4	TK06_RS19885	TK06_RS19890	TK06_RS19895	TK06_RS19900												
operon 763	NZ_CP015225.1	4627456	4632356	-	3	TK06_RS19905	TK06_RS19910	TK06_RS19915													
operon 764	NZ_CP015225.1	4648400	4651095	-	2	TK06_RS19930	TK06_RS19935														
operon 765	NZ_CP015225.1	4652676	4658308	+	4	TK06_RS19945	TK06_RS19950	TK06_RS19955	TK06_RS19960												
operon 766	NZ_CP015225.1	4660817	4664898	+	3	TK06_RS19970	TK06_RS19975	TK06_RS19980													
operon 767	NZ_CP015225.1	4668767	4672852	-	3	TK06_RS20005	TK06_RS20010	TK06_RS20015													
operon 768	NZ_CP015225.1	4673181	4675874	-	3	TK06_RS20020	TK06_RS20025	TK06_RS20030													
operon 769	NZ_CP015225.1	4690764	4693636	-	3	TK06_RS20100	TK06_RS20105	TK06_RS20110													
operon 770	NZ_CP015225.1	4700474	4706824	-	4	TK06_RS20145	TK06_RS20150	TK06_RS20155	TK06_RS20160												
operon 771	NZ_CP015225.1	4715623	4718038	-	2	TK06_RS20205	TK06_RS20210														
operon 772	NZ_CP015225.1	4719526	4722422	+	3	TK06_RS20220	TK06_RS20225	TK06_RS20230													
operon 773	NZ_CP015225.1	4725419	4728033	+	3	TK06_RS20250	TK06_RS20255	TK06_RS20260													
operon 774	NZ_CP015225.1	4728118	4730162	-	2	TK06_RS20265	TK06_RS20270														
operon 775	NZ_CP015225.1	4734317	4735195	-	2	TK06_RS20310	TK06_RS20315														
operon 776	NZ_CP015225.1	4737038	4738396	-	2	TK06_RS20330	TK06_RS20335														
operon 777	NZ_CP015225.1	4738589	4740042	+	2	TK06_RS20340	TK06_RS20345														
operon 778	NZ_CP015225.1	4748418	4752389	-	2	TK06_RS20390	TK06_RS20395														
operon 779	NZ_CP015225.1	4755487	4756849	+	2	TK06_RS20410	TK06_RS20415														
operon 780	NZ_CP015225.1	4756922	4757793	-	2	TK06_RS20420	TK06_RS20425														
operon 781	NZ_CP015225.1	4757896	4759485	-	2	TK06_RS20430	TK06_RS20435														
operon 782	NZ_CP015225.1	4768343	4770669	+	2	TK06_RS20475	TK06_RS20480														
operon 783	NZ_CP015225.1	4774897	4777243	+	2	TK06_RS20500	TK06_RS20505														
operon 784	NZ_CP015225.1	4778429	4781231	+	2	TK06_RS20515	TK06_RS20520														
operon 785	NZ_CP015225.1	4781354	4782817	+	2	TK06_RS20525	TK06_RS20530														
operon 786	NZ_CP015225.1	4783100	4787005	+	5	TK06_RS20540	TK06_RS20545	TK06_RS20550	TK06_RS20555	TK06_RS20560											
operon 787	NZ_CP015225.1	4798826	4802490	-	3	TK06_RS20640	TK06_RS20645	TK06_RS20650													
operon 788	NZ_CP015225.1	4807587	4809336	+	2	TK06_RS20680	TK06_RS20685														
operon 789	NZ_CP015225.1	4811216	4813666	-	2	TK06_RS20695	TK06_RS20700														
operon 790	NZ_CP015225.1	4816265	4818399	+	2	TK06_RS20720	TK06_RS20725														
operon 791	NZ_CP015225.1	4823255	4826772	+	4	TK06_RS20745	TK06_RS20750	TK06_RS20755	TK06_RS20760												
operon 792	NZ_CP015225.1	4830155	4831187	-	3	TK06_RS20775	TK06_RS31075	TK06_RS20780													
operon 793	NZ_CP015225.1	4831625	4834772	+	2	TK06_RS20785	TK06_RS20790														
operon 794	NZ_CP015225.1	4834792	4837260	-	2	TK06_RS20795	TK06_RS20800														
operon 795	NZ_CP015225.1	4837365	4840963	-	3	TK06_RS20805	TK06_RS20810	TK06_RS20815													
operon 796	NZ_CP015225.1	4841162	4842110	-	2	TK06_RS20820	TK06_RS20825														
operon 797	NZ_CP015225.1	4846161	4847458	+	2	TK06_RS20840	TK06_RS20845														
operon 798	NZ_CP015225.1	4848620	4851416	+	4	TK06_RS20855	TK06_RS20860	TK06_RS20865	TK06_RS20870												
operon 799	NZ_CP015225.1	4853921	4856455	+	3	TK06_RS20880	TK06_RS20885	TK06_RS20890													
operon 800	NZ_CP015225.1	4856829	4858333	+	2	TK06_RS20895	TK06_RS20900														
operon 801	NZ_CP015225.1	4858731	4861159	+	2	TK06_RS31080	TK06_RS31085														
operon 802	NZ_CP015225.1	4872302	4873790	-	2	TK06_RS20980	TK06_RS20985														
operon 803	NZ_CP015225.1	4873872	4877417	+	3	TK06_RS20990	TK06_RS20995	TK06_RS21000													
operon 804	NZ_CP015225.1	4882754	4888970	-	4	TK06_RS21025	TK06_RS21030	TK06_RS21035	TK06_RS21040												
operon 805	NZ_CP015225.1	4889537	4892012	+	4	TK06_RS31095	TK06_RS21045	TK06_RS31100	TK06_RS21050												
operon 806	NZ_CP015225.1	4894028	4898265	+	4	TK06_RS21060	TK06_RS21065	TK06_RS21070	TK06_RS21075												
operon 807	NZ_CP015225.1	4898414	4899707	+	2	TK06_RS21080	TK06_RS21085														
operon 808	NZ_CP015225.1	4899839	4905526	+	7	TK06_RS21090	TK06_RS21095	TK06_RS21100	TK06_RS21105	TK06_RS21110	TK06_RS21115	TK06_RS21120									
operon 809	NZ_CP015225.1	4907219	4909829	+	2	TK06_RS21130	TK06_RS21135														
operon 810	NZ_CP015225.1	4910146	4911775	-	4	TK06_RS21140	TK06_RS21145	TK06_RS21150	TK06_RS21155												
operon 811	NZ_CP015225.1	4913022	4914276	-	2	TK06_RS21165	TK06_RS21170														
operon 812	NZ_CP015225.1	4914458	4917182	+	3	TK06_RS21175	TK06_RS21180	TK06_RS21185													
operon 813	NZ_CP015225.1	4927408	4936411	-	8	TK06_RS21230	TK06_RS21235	TK06_RS21240	TK06_RS21245	TK06_RS21250	TK06_RS21255	TK06_RS21260	TK06_RS21265								
operon 814	NZ_CP015225.1	4936838	4942605	+	5	TK06_RS21275	TK06_RS21280	TK06_RS21285	TK06_RS21290	TK06_RS21295											
operon 815	NZ_CP015225.1	4942759	4946089	+	2	TK06_RS21300	TK06_RS21305														
operon 816	NZ_CP015225.1	4947884	4953847	+	4	TK06_RS21315	TK06_RS21320	TK06_RS21325	TK06_RS21330												
operon 817	NZ_CP015225.1	4957442	4960756	-	4	TK06_RS21350	TK06_RS21355	TK06_RS21360	TK06_RS21365												
operon 818	NZ_CP015225.1	4961392	4963250	+	2	TK06_RS21370	TK06_RS21375														
operon 819	NZ_CP015225.1	4978978	4982215	+	2	TK06_RS21450	TK06_RS21455														
operon 820	NZ_CP015225.1	4984676	4986327	-	2	TK06_RS21465	TK06_RS21470														
operon 821	NZ_CP015225.1	4993087	4994874	-	3	TK06_RS21485	TK06_RS21490	TK06_RS21495													
operon 822	NZ_CP015225.1	5001332	5003475	-	2	TK06_RS21510	TK06_RS21515														
operon 823	NZ_CP015225.1	5004770	5010641	-	4	TK06_RS21525	TK06_RS21530	TK06_RS21535	TK06_RS21540												
operon 824	NZ_CP015225.1	5011071	5021969	+	8	TK06_RS21545	TK06_RS21550	TK06_RS21555	TK06_RS21560	TK06_RS21565	TK06_RS21570	TK06_RS21575	TK06_RS21580								
operon 825	NZ_CP015225.1	5022027	5030846	+	8	TK06_RS21585	TK06_RS21590	TK06_RS21595	TK06_RS21600	TK06_RS21605	TK06_RS21610	TK06_RS21615	TK06_RS21620								
operon 826	NZ_CP015225.1	5032873	5038394	-	3	TK06_RS21635	TK06_RS21640	TK06_RS21645													
operon 827	NZ_CP015225.1	5038530	5040914	-	2	TK06_RS21650	TK06_RS21655														
operon 828	NZ_CP015225.1	5041163	5043853	+	5	TK06_RS21660	TK06_RS21665	TK06_RS21670	TK06_RS21675	TK06_RS21680											
operon 829	NZ_CP015225.1	5043991	5046149	+	3	TK06_RS21685	TK06_RS21690	TK06_RS21695													
operon 830	NZ_CP015225.1	5048420	5055952	-	7	TK06_RS21705	TK06_RS21710	TK06_RS21715	TK06_RS21720	TK06_RS21725	TK06_RS21730	TK06_RS21735									
operon 831	NZ_CP015225.1	5056173	5059303	-	3	TK06_RS21740	TK06_RS21745	TK06_RS21750													
operon 832	NZ_CP015225.1	5059719	5077093	+	12	TK06_RS21755	TK06_RS21760	TK06_RS21765	TK06_RS21770	TK06_RS21775	TK06_RS21780	TK06_RS21785	TK06_RS21790	TK06_RS21795	TK06_RS21800	TK06_RS21805	TK06_RS21810				
operon 833	NZ_CP015225.1	5082017	5085022	-	2	TK06_RS21835	TK06_RS21840														
operon 834	NZ_CP015225.1	5085347	5087505	-	3	TK06_RS21845	TK06_RS21850	TK06_RS21855													
operon 835	NZ_CP015225.1	5089751	5093057	-	3	TK06_RS21870	TK06_RS21875	TK06_RS21880													
operon 836	NZ_CP015225.1	5093549	5095043	-	2	TK06_RS21890	TK06_RS21895														
operon 837	NZ_CP015225.1	5095315	5096437	+	2	TK06_RS21900	TK06_RS21905														
operon 838	NZ_CP015225.1	5099654	5101569	-	2	TK06_RS21925	TK06_RS21930														
operon 839	NZ_CP015225.1	5101809	5104139	-	2	TK06_RS21935	TK06_RS21940														
operon 840	NZ_CP015225.1	5104397	5106065	-	2	TK06_RS21945	TK06_RS21950														
operon 841	NZ_CP015225.1	5108989	5109389	+	2	TK06_RS21965	TK06_RS21970														
operon 842	NZ_CP015225.1	5119527	5122327	+	3	TK06_RS22025	TK06_RS22030	TK06_RS22035													
operon 843	NZ_CP015225.1	5139480	5143033	-	3	TK06_RS22100	TK06_RS22105	TK06_RS22110													
operon 844	NZ_CP015225.1	5145915	5147621	+	2	TK06_RS22125	TK06_RS22130														
operon 845	NZ_CP015225.1	5148899	5153503	-	6	TK06_RS22145	TK06_RS22150	TK06_RS22155	TK06_RS22160	TK06_RS22165	TK06_RS31115										
operon 846	NZ_CP015225.1	5153435	5154244	+	3	TK06_RS31120	TK06_RS22170	TK06_RS31125													
operon 847	NZ_CP015225.1	5162355	5166453	+	3	TK06_RS22210	TK06_RS31135	TK06_RS22220													
operon 848	NZ_CP015225.1	5168085	5168970	-	2	TK06_RS22235	TK06_RS31140														
operon 849	NZ_CP015225.1	5170629	5173120	+	2	TK06_RS22250	TK06_RS22255														
operon 850	NZ_CP015225.1	5174039	5175373	-	2	TK06_RS22265	TK06_RS22270														
operon 851	NZ_CP015225.1	5175574	5177358	-	2	TK06_RS22275	TK06_RS22280														
operon 852	NZ_CP015225.1	5183026	5186273	+	2	TK06_RS22310	TK06_RS22315														
operon 853	NZ_CP015225.1	5188174	5191029	-	4	TK06_RS22325	TK06_RS22330	TK06_RS22335	TK06_RS22340												
operon 854	NZ_CP015225.1	5196120	5198554	+	2	TK06_RS22365	TK06_RS22370														
operon 855	NZ_CP015225.1	5203430	5208233	-	3	TK06_RS22400	TK06_RS22405	TK06_RS22410													
operon 856	NZ_CP015225.1	5210071	5210594	-	2	TK06_RS22430	TK06_RS22435														
operon 857	NZ_CP015225.1	5210724	5215107	+	4	TK06_RS22440	TK06_RS22445	TK06_RS22450	TK06_RS22455												
operon 858	NZ_CP015225.1	5221427	5223192	-	3	TK06_RS22480	TK06_RS22485	TK06_RS22490													
operon 859	NZ_CP015225.1	5232337	5233150	-	2	TK06_RS22530	TK06_RS22535														
operon 860	NZ_CP015225.1	5234449	5239337	+	7	TK06_RS22545	TK06_RS22550	TK06_RS22555	TK06_RS22560	TK06_RS22565	TK06_RS22570	TK06_RS31155									
operon 861	NZ_CP015225.1	5242704	5245485	+	2	TK06_RS22590	TK06_RS22595														
operon 862	NZ_CP015225.1	5246964	5251067	+	4	TK06_RS22605	TK06_RS22610	TK06_RS22615	TK06_RS22620												
operon 863	NZ_CP015225.1	5254513	5257136	-	2	TK06_RS22635	TK06_RS22640														
operon 864	NZ_CP015225.1	5261276	5262420	-	2	TK06_RS22660	TK06_RS22665														
operon 865	NZ_CP015225.1	5262731	5265942	+	2	TK06_RS22670	TK06_RS22675														
operon 866	NZ_CP015225.1	5266100	5268757	+	3	TK06_RS22680	TK06_RS22685	TK06_RS22690													
operon 867	NZ_CP015225.1	5268915	5273246	+	6	TK06_RS22695	TK06_RS22700	TK06_RS22705	TK06_RS22710	TK06_RS22715	TK06_RS22720										
operon 868	NZ_CP015225.1	5274662	5278043	-	5	TK06_RS22735	TK06_RS22740	TK06_RS22745	TK06_RS22750	TK06_RS22755											
operon 869	NZ_CP015225.1	5278586	5281020	-	4	TK06_RS22760	TK06_RS22765	TK06_RS22770	TK06_RS22775												
operon 870	NZ_CP015225.1	5282044	5283270	-	2	TK06_RS22785	TK06_RS22790														
operon 871	NZ_CP015225.1	5286287	5287413	+	2	TK06_RS22810	TK06_RS22815														
operon 872	NZ_CP015225.1	5287585	5290318	-	2	TK06_RS22820	TK06_RS22825														
operon 873	NZ_CP015225.1	5299579	5301664	+	3	TK06_RS22865	TK06_RS22870	TK06_RS22875													
operon 874	NZ_CP015225.1	5304627	5306630	-	2	TK06_RS22895	TK06_RS22900														
operon 875	NZ_CP015225.1	5306779	5308339	+	2	TK06_RS22905	TK06_RS22910														
operon 876	NZ_CP015225.1	5308472	5312951	-	4	TK06_RS22915	TK06_RS22920	TK06_RS22925	TK06_RS22930												
operon 877	NZ_CP015225.1	5313296	5316416	+	3	TK06_RS22935	TK06_RS22940	TK06_RS22945													
operon 878	NZ_CP015225.1	5318828	5320627	+	3	TK06_RS22965	TK06_RS22970	TK06_RS22975													
operon 879	NZ_CP015225.1	5320554	5325133	-	7	TK06_RS31165	TK06_RS22980	TK06_RS22985	TK06_RS22990	TK06_RS22995	TK06_RS23000	TK06_RS23005									
operon 880	NZ_CP015225.1	5325395	5327835	-	4	TK06_RS23010	TK06_RS23015	TK06_RS23020	TK06_RS23025												
operon 881	NZ_CP015225.1	5328937	5329717	-	2	TK06_RS31170	TK06_RS23035														
operon 882	NZ_CP015225.1	5330519	5333322	-	3	TK06_RS23045	TK06_RS23050	TK06_RS23055													
operon 883	NZ_CP015225.1	5333408	5334414	-	2	TK06_RS23060	TK06_RS23065														
operon 884	NZ_CP015225.1	5335924	5337851	-	2	TK06_RS23075	TK06_RS23080														
operon 885	NZ_CP015225.1	5338076	5339468	+	3	TK06_RS23085	TK06_RS23090	TK06_RS23095													
operon 886	NZ_CP015225.1	5341876	5348281	+	2	TK06_RS23105	TK06_RS23110														
operon 887	NZ_CP015225.1	5349122	5356395	+	9	TK06_RS23115	TK06_RS23120	TK06_RS23125	TK06_RS23130	TK06_RS23135	TK06_RS23140	TK06_RS23145	TK06_RS23150	TK06_RS23155							
operon 888	NZ_CP015225.1	5363307	5364487	+	2	TK06_RS23185	TK06_RS23190														
operon 889	NZ_CP015225.1	5370595	5371965	+	2	TK06_RS23215	TK06_RS23220														
operon 890	NZ_CP015225.1	5381926	5384131	-	2	TK06_RS23270	TK06_RS23275														
operon 891	NZ_CP015225.1	5386570	5389069	+	3	TK06_RS23285	TK06_RS23290	TK06_RS23295													
operon 892	NZ_CP015225.1	5390781	5391373	-	2	TK06_RS23310	TK06_RS23315														
operon 893	NZ_CP015225.1	5397661	5398465	+	2	TK06_RS23345	TK06_RS23350														
operon 894	NZ_CP015225.1	5407222	5410001	-	2	TK06_RS23385	TK06_RS23390														
operon 895	NZ_CP015225.1	5414899	5417938	-	3	TK06_RS23410	TK06_RS23415	TK06_RS23420													
operon 896	NZ_CP015225.1	5422126	5423786	-	2	TK06_RS23440	TK06_RS23445														
operon 897	NZ_CP015225.1	5425109	5427012	-	2	TK06_RS23455	TK06_RS23460														
operon 898	NZ_CP015225.1	5429782	5431062	-	2	TK06_RS23475	TK06_RS23480														
operon 899	NZ_CP015225.1	5431632	5432241	-	2	TK06_RS23490	TK06_RS31195														
operon 900	NZ_CP015225.1	5432268	5435932	+	3	TK06_RS23495	TK06_RS23500	TK06_RS23505													
operon 901	NZ_CP015225.1	5436140	5440093	+	3	TK06_RS23510	TK06_RS23515	TK06_RS23520													
operon 902	NZ_CP015225.1	5445568	5448708	+	2	TK06_RS23535	TK06_RS23540														
operon 903	NZ_CP015225.1	5453920	5459803	+	4	TK06_RS23565	TK06_RS23570	TK06_RS23575	TK06_RS23580												
operon 904	NZ_CP015225.1	5465726	5466994	-	2	TK06_RS31215	TK06_RS23605														
operon 905	NZ_CP015225.1	5468010	5469113	-	2	TK06_RS23615	TK06_RS23620														
operon 906	NZ_CP015225.1	5473898	5475996	+	2	TK06_RS23645	TK06_RS23650														
operon 907	NZ_CP015225.1	5476168	5478570	+	2	TK06_RS23655	TK06_RS23660														
operon 908	NZ_CP015225.1	5478754	5480770	-	3	TK06_RS23665	TK06_RS23670	TK06_RS23675													
operon 909	NZ_CP015225.1	5483604	5485093	-	2	TK06_RS23685	TK06_RS23690														
operon 910	NZ_CP015225.1	5485264	5487908	-	2	TK06_RS23695	TK06_RS23700														
operon 911	NZ_CP015225.1	5499374	5502758	+	4	TK06_RS23750	TK06_RS23755	TK06_RS23760	TK06_RS23765												
operon 912	NZ_CP015225.1	5505528	5508705	+	2	TK06_RS23780	TK06_RS23785														
operon 913	NZ_CP015225.1	5511362	5516400	-	6	TK06_RS23795	TK06_RS23800	TK06_RS23805	TK06_RS23810	TK06_RS23815	TK06_RS31235										
operon 914	NZ_CP015225.1	5519074	5521563	-	2	TK06_RS23825	TK06_RS23830														
operon 915	NZ_CP015225.1	5521831	5524656	-	2	TK06_RS23835	TK06_RS23840														
operon 916	NZ_CP015225.1	5545494	5546356	+	2	TK06_RS23925	TK06_RS23930														
operon 917	NZ_CP015225.1	5546436	5550559	-	3	TK06_RS23935	TK06_RS23940	TK06_RS23945													
operon 918	NZ_CP015225.1	5552896	5554513	-	3	TK06_RS23955	TK06_RS23960	TK06_RS23965													
operon 919	NZ_CP015225.1	5554630	5560496	-	4	TK06_RS23970	TK06_RS23975	TK06_RS23980	TK06_RS23985												
operon 920	NZ_CP015225.1	5560627	5563089	+	3	TK06_RS23990	TK06_RS23995	TK06_RS24000													
operon 921	NZ_CP015225.1	5567829	5570046	+	2	TK06_RS24020	TK06_RS24025														
operon 922	NZ_CP015225.1	5570273	5572358	+	2	TK06_RS24030	TK06_RS24035														
operon 923	NZ_CP015225.1	5572498	5575214	+	3	TK06_RS24040	TK06_RS24045	TK06_RS24050													
operon 924	NZ_CP015225.1	5579212	5582402	+	4	TK06_RS24065	TK06_RS24070	TK06_RS24075	TK06_RS24080												
operon 925	NZ_CP015225.1	5585813	5588265	-	3	TK06_RS24110	TK06_RS24115	TK06_RS24120													
operon 926	NZ_CP015225.1	5590008	5592520	-	2	TK06_RS24135	TK06_RS24140														
operon 927	NZ_CP015225.1	5599837	5601996	+	3	TK06_RS24175	TK06_RS24180	TK06_RS24185													
operon 928	NZ_CP015225.1	5603876	5604787	+	2	TK06_RS24215	TK06_RS24220														
operon 929	NZ_CP015225.1	5604905	5606031	+	2	TK06_RS24225	TK06_RS24230														
operon 930	NZ_CP015225.1	5606231	5607175	+	2	TK06_RS24235	TK06_RS24240														
operon 931	NZ_CP015225.1	5607396	5615733	+	2	TK06_RS24245	TK06_RS24250														
operon 932	NZ_CP015225.1	5616424	5620255	+	3	TK06_RS24260	TK06_RS24265	TK06_RS24270													
operon 933	NZ_CP015225.1	5620411	5627007	+	15	TK06_RS24275	TK06_RS24280	TK06_RS24285	TK06_RS24290	TK06_RS24295	TK06_RS24300	TK06_RS24305	TK06_RS24310	TK06_RS24315	TK06_RS24320	TK06_RS24325	TK06_RS24330	TK06_RS24335	TK06_RS24340	TK06_RS24345	
operon 934	NZ_CP015225.1	5627218	5631116	+	8	TK06_RS24350	TK06_RS24355	TK06_RS24360	TK06_RS24365	TK06_RS24370	TK06_RS24375	TK06_RS24380	TK06_RS31255								
operon 935	NZ_CP015225.1	5631247	5634115	+	5	TK06_RS24385	TK06_RS24390	TK06_RS24395	TK06_RS24400	TK06_RS24405											
operon 936	NZ_CP015225.1	5639540	5641462	+	2	TK06_RS24425	TK06_RS24430														
operon 937	NZ_CP015225.1	5650818	5652669	+	2	TK06_RS24465	TK06_RS24470														
operon 938	NZ_CP015225.1	5652799	5656814	-	4	TK06_RS24475	TK06_RS24480	TK06_RS24485	TK06_RS24490												
operon 939	NZ_CP015225.1	5663827	5665633	+	2	TK06_RS24505	TK06_RS24510														
operon 940	NZ_CP015225.1	5666775	5669282	-	3	TK06_RS24520	TK06_RS24525	TK06_RS24530													
operon 941	NZ_CP015225.1	5671618	5672735	-	2	TK06_RS24550	TK06_RS24555														
operon 942	NZ_CP015225.1	5674504	5676277	+	2	TK06_RS24570	TK06_RS24575														
operon 943	NZ_CP015225.1	5676579	5679806	+	5	TK06_RS24580	TK06_RS24585	TK06_RS24590	TK06_RS24595	TK06_RS24600											
operon 944	NZ_CP015225.1	5679917	5681735	+	3	TK06_RS24605	TK06_RS24610	TK06_RS24615													
operon 945	NZ_CP015225.1	5685842	5686968	-	2	TK06_RS24630	TK06_RS24635														
operon 946	NZ_CP015225.1	5688604	5698832	+	6	TK06_RS24645	TK06_RS24650	TK06_RS24655	TK06_RS24660	TK06_RS24665	TK06_RS24670										
operon 947	NZ_CP015225.1	5699202	5700504	+	2	TK06_RS24675	TK06_RS24680														
operon 948	NZ_CP015225.1	5700770	5704788	+	5	TK06_RS24685	TK06_RS24690	TK06_RS24695	TK06_RS24700	TK06_RS24705											
operon 949	NZ_CP015225.1	5704984	5706538	-	2	TK06_RS24710	TK06_RS24715														
operon 950	NZ_CP015225.1	5706740	5710920	-	4	TK06_RS24720	TK06_RS24725	TK06_RS24730	TK06_RS24735												
operon 951	NZ_CP015225.1	5718847	5723065	+	4	TK06_RS24760	TK06_RS24765	TK06_RS24770	TK06_RS24775												
operon 952	NZ_CP015225.1	5724211	5726678	+	2	TK06_RS24780	TK06_RS24785														
operon 953	NZ_CP015225.1	5730687	5732989	-	3	TK06_RS24805	TK06_RS31265	TK06_RS24810													
operon 954	NZ_CP015225.1	5738185	5739651	-	2	TK06_RS24830	TK06_RS24835														
operon 955	NZ_CP015225.1	5740967	5743197	-	2	TK06_RS24845	TK06_RS24850														
operon 956	NZ_CP015225.1	5749338	5751608	+	3	TK06_RS24870	TK06_RS24875	TK06_RS24880													
operon 957	NZ_CP015225.1	5751859	5754246	-	2	TK06_RS24885	TK06_RS24890														
operon 958	NZ_CP015225.1	5755132	5756811	+	3	TK06_RS24900	TK06_RS24905	TK06_RS24910													
operon 959	NZ_CP015225.1	5756878	5758930	-	2	TK06_RS24915	TK06_RS24920														
operon 960	NZ_CP015225.1	5759127	5767222	+	8	TK06_RS24925	TK06_RS24930	TK06_RS24935	TK06_RS24940	TK06_RS24945	TK06_RS24950	TK06_RS24955	TK06_RS24960								
operon 961	NZ_CP015225.1	5767391	5770576	+	4	TK06_RS24965	TK06_RS24970	TK06_RS24975	TK06_RS24980												
operon 962	NZ_CP015225.1	5774544	5776226	-	2	TK06_RS25000	TK06_RS25005														
operon 963	NZ_CP015225.1	5780581	5784473	-	4	TK06_RS25025	TK06_RS25030	TK06_RS25035	TK06_RS25040												
operon 964	NZ_CP015225.1	5787438	5790191	-	3	TK06_RS25060	TK06_RS25065	TK06_RS25070													
operon 965	NZ_CP015225.1	5794796	5796964	+	2	TK06_RS25085	TK06_RS25090														
operon 966	NZ_CP015225.1	5798221	5810389	-	3	TK06_RS25105	TK06_RS25110	TK06_RS25115													
operon 967	NZ_CP015225.1	5811920	5813261	-	2	TK06_RS25125	TK06_RS25130														
operon 968	NZ_CP015225.1	5815913	5817745	-	2	TK06_RS25140	TK06_RS25145														
operon 969	NZ_CP015225.1	5818798	5819910	+	2	TK06_RS25155	TK06_RS25160														
operon 970	NZ_CP015225.1	5826154	5827613	+	2	TK06_RS25195	TK06_RS25200														
operon 971	NZ_CP015225.1	5827684	5829516	-	2	TK06_RS25205	TK06_RS25210														
operon 972	NZ_CP015225.1	5836431	5837728	-	2	TK06_RS25240	TK06_RS25245														
operon 973	NZ_CP015225.1	5838015	5840386	-	2	TK06_RS25250	TK06_RS25255														
operon 974	NZ_CP015225.1	5843496	5846119	+	3	TK06_RS25275	TK06_RS25280	TK06_RS31275													
operon 975	NZ_CP015225.1	5854311	5856590	+	2	TK06_RS25325	TK06_RS25330														
operon 976	NZ_CP015225.1	5882706	5883313	+	2	TK06_RS25435	TK06_RS25440														
operon 977	NZ_CP015225.1	5884996	5886579	+	2	TK06_RS25450	TK06_RS25455														
operon 978	NZ_CP015225.1	5891053	5895789	+	4	TK06_RS25475	TK06_RS25480	TK06_RS25485	TK06_RS25490												
operon 979	NZ_CP015225.1	5897598	5904387	+	7	TK06_RS25505	TK06_RS25510	TK06_RS25515	TK06_RS25520	TK06_RS25525	TK06_RS25530	TK06_RS25535									
operon 980	NZ_CP015225.1	5905434	5908589	-	3	TK06_RS25545	TK06_RS25550	TK06_RS25555													
operon 981	NZ_CP015225.1	5911320	5913004	+	2	TK06_RS25570	TK06_RS25575														
operon 982	NZ_CP015225.1	5920032	5921182	-	2	TK06_RS25620	TK06_RS25625														
operon 983	NZ_CP015225.1	5922581	5927192	-	5	TK06_RS25640	TK06_RS25645	TK06_RS25650	TK06_RS25655	TK06_RS25660											
operon 984	NZ_CP015225.1	5929964	5933194	-	2	TK06_RS25680	TK06_RS25685														
operon 985	NZ_CP015225.1	5939268	5940925	-	2	TK06_RS25710	TK06_RS25715														
operon 986	NZ_CP015225.1	5941201	5943159	-	2	TK06_RS25720	TK06_RS25725														
operon 987	NZ_CP015225.1	5943806	5948376	-	3	TK06_RS25730	TK06_RS25735	TK06_RS31280													
operon 988	NZ_CP015225.1	5950286	5952204	+	2	TK06_RS25750	TK06_RS25755														
operon 989	NZ_CP015225.1	5952669	5956219	+	4	TK06_RS25765	TK06_RS25770	TK06_RS25775	TK06_RS25780												
operon 990	NZ_CP015225.1	5956949	5958934	-	2	TK06_RS25790	TK06_RS25795														
